authorityGroupId,createdTimestamp,updatedTimestamp,atlasStatus,groupType,reference,title,url,notes
,,,relOnly,collectedAuthority,ITU-T X.690 (07/1994) / ISO/IEC 8825-1:1995 (as amended),"Information technology — ASN.1 Encoding Rules: Specification of Basic Encoding Rules (BER), Canonical Encoding Rules (CER) and Distinguished Encoding Rules (DER) [ITU-T X.690 (07/1994) / ISO/IEC 8825-1:1995]",,
,,,relOnly,collectedAuthority,ITU-T X.690 (12/1997) / ISO/IEC 8825-1:1998 (as amended),"Information technology — ASN.1 Encoding Rules: Specification of Basic Encoding Rules (BER), Canonical Encoding Rules (CER) and Distinguished Encoding Rules (DER) [ITU-T X.690 (12/1997) / ISO/IEC 8825-1:1998]",,
,,,relOnly,collectedAuthority,ITU-T X.690 (07/2002) / ISO/IEC 8825-1:2002 (as amended),"Information technology — ASN.1 Encoding Rules: Specification of Basic Encoding Rules (BER), Canonical Encoding Rules (CER) and Distinguished Encoding Rules (DER) [ITU-T X.690 (07/2002) / ISO/IEC 8825-1:2002]",,
,,,relOnly,collectedAuthority,ITU-T X.690 (11/2008) / ISO/IEC 8825-1:2008 (as amended),"Information technology — ASN.1 Encoding Rules: Specification of Basic Encoding Rules (BER), Canonical Encoding Rules (CER) and Distinguished Encoding Rules (DER) [ITU-T X.690 (11/2008) / ISO/IEC 8825-1:2008]",,
,,,relOnly,collectedAuthority,ITU-T X.690 (08/2015) / ISO/IEC 8825-1:2015 (as amended),"Information technology — ASN.1 Encoding Rules: Specification of Basic Encoding Rules (BER), Canonical Encoding Rules (CER) and Distinguished Encoding Rules (DER) [ITU-T X.690 (08/2015) / ISO/IEC 8825-1:2015]",,
,,,relOnly,collectedAuthority,ITU-T X.690 (02/2021) / ISO/IEC 8825-1:2021 (as amended),"Information technology — ASN.1 Encoding Rules: Specification of Basic Encoding Rules (BER), Canonical Encoding Rules (CER) and Distinguished Encoding Rules (DER) [ITU-T X.690 (02/2021) / ISO/IEC 8825-1:2021]",,
,,,relOnly,versionedAuthority,ISO 8879,Information Processing — Text and Office Systems — Standard Generalized Markup Language (SGML),,
,,,relOnly,collectedAuthority,ISO 8879:1986 (as amended),Information Processing — Text and Office Systems — Standard Generalized Markup Language (SGML) [ISO 8879:1986],,
,,,relOnly,versionedAuthority,W3C REC XML1.0,Extensible Markup Language (XML) 1.0,https://www.w3.org/TR/xml/,
,,,relOnly,versionedAuthority,W3C REC XML1.1,Extensible Markup Language (XML) 1.1,https://www.w3.org/TR/xml11/,
,,,relOnly,versionedAuthority,HTML (versioned specs),Hypertext Markup Language (fixed versions),,
,,,relOnly,collectedAuthority,HTML 2.0,Hypertext Markup Language 2.0,,
,,,relOnly,versionedAuthority,HTML 4.0,Hypertext Markup Language 4.0,,
,,,relOnly,versionedAuthority,XHTML 1.0,Extensible Hypertext Markup Language 1.0,,
