artifactId,createdTimestamp,updatedTimestamp,artifactType,artifactSubtype,artifactTypeGroup,shortName,fullName,status,notes
,,,cryptographicAlgorithm,cryptographicHash,,SHA-1,Secure Hash Algorithm 1 (160 bits),,
,,,cryptographicAlgorithm,cryptographicHash,true,SHA-2,Secure Hash Algorithm 2 family,,
,,,cryptographicAlgorithm,cryptographicHash,,SHA-224,Secure Hash Algorithm 2 (224 bits),,Truncated SHA-256
,,,cryptographicAlgorithm,cryptographicHash,,SHA-256,Secure Hash Algorithm 2 (256 bits),,
,,,cryptographicAlgorithm,cryptographicHash,,SHA-384,Secure Hash Algorithm 2 (384 bits),,Truncated SHA-512
,,,cryptographicAlgorithm,cryptographicHash,,SHA-512,Secure Hash Algorithm 2 (512 bits),,
,,,cryptographicAlgorithm,cryptographicHash,,SHA-512/224,"Secure Hash Algorithm 2 (SHA-512/t, truncated to 224 bits)",,
,,,cryptographicAlgorithm,cryptographicHash,,SHA-512/256,"Secure Hash Algorithm 2 (SHA-512/t, truncated to 256 bits)",,
,,,cryptographicAlgorithm,cryptographicHash,,Keccak,Keccak sponge hash algorithm,,
,,,cryptographicAlgorithm,cryptographicHash,true,SHA-3,Secure Hash Algorithm 3 family,,
,,,cryptographicAlgorithm,cryptographicHash,,SHA3-224,Secure Hash Algorithm 3 (224 bits),,
,,,cryptographicAlgorithm,cryptographicHash,,SHA3-256,Secure Hash Algorithm 3 (256 bits),,
,,,cryptographicAlgorithm,cryptographicHash,,SHA3-384,Secure Hash Algorithm 3 (384 bits),,
,,,cryptographicAlgorithm,cryptographicHash,,SHA3-512,Secure Hash Algorithm 3 (512 bits),,
,,,cryptographicAlgorithm,extendableOutputFunction,,SHAKE-128,Secure Hash Algorithm KECCAK Extendable-output (128 bit security),,
,,,cryptographicAlgorithm,extendableOutputFunction,,SHAKE-256,Secure Hash Algorithm KECCAK Extendable-output (256 bit security),,
,,,cryptographicAlgorithm,messageAuthenticationCode,true,HMAC,Hash-based Message Authentication Code,,
,,,cryptographicAlgorithm,messageAuthenticationCode,,HMAC-MD5,HMAC using MD5,,
,,,cryptographicAlgorithm,messageAuthenticationCode,,HMAC-SHA1,HMAC using SHA-1,,
,,,cryptographicAlgorithm,messageAuthenticationCode,,HMAC-SHA256,HMAC using SHA-256,,
,,,cryptographicAlgorithm,messageAuthenticationCode,,HMAC-SHA512,HMAC using SHA-512,,
,,,cryptographicAlgorithm,messageAuthenticationCode,,AES-CMAC,AES one-key cipher-based MAC,,
,,,cryptographicAlgorithm,keyDerivationFunction,true,Argon2,Argon2 key derivation function,,
,,,cryptographicAlgorithm,keyDerivationFunction,,Argon2d,Argon2 key derivation function (GPU cracking resistant),,
,,,cryptographicAlgorithm,keyDerivationFunction,,Argon2i,Argon2 key derivation function (side-channel attack resistant),,
,,,cryptographicAlgorithm,keyDerivationFunction,,Argon2id,Argon2 key derivation function (hybrid resistance),,
,,,cryptographicAlgorithm,keyDerivationFunction,,scrypt,scrypt password-based key derivation function,,
,,,cryptographicAlgorithm,keyDerivationFunction,,bcrypt,bcrypt password-based key derivation function,,
,,,cryptographicAlgorithm,keyDerivationFunction,,PBKDF2,Password Based Key Derivation Function 2 (PKCS #5 v2.0),,
,,,cryptographicAlgorithm,keyDerivationFunction,,HKDF,HMAC-based key derivation function,,
,,,cryptographicAlgorithm,keyAgreementAlgorithm,,Diffie-Hellman,Diffie-Hellman key exchange,,
,,,cryptographicAlgorithm,keyAgreementAlgorithm,,ECDH,Elliptic-Curve Diffie-Hellman key agreement,,
,,,cryptographicFormat,cryptographicKeyPairStructure,,X.509 v1 Certificate,X.509 Public Key Certificate (version 1),,
,,,cryptographicFormat,cryptographicKeyPairStructure,,X.509 v2 Certificate,X.509 Public Key Certificate (version 2),,
,,,cryptographicFormat,cryptographicKeyPairStructure,,X.509 v3 Certificate,X.509 Public Key Certificate (version 3),,
,,,cryptographicFormat,cryptographicRevocationStructure,,X.509 v1 CRL,X.509 Certificate Revocation List (version 1),,
,,,cryptographicFormat,cryptographicRevocationStructure,,X.509 v2 CRL,X.509 Certificate Revocation List (version 2),,
,,,cryptographicFormat,cryptographicKeyPairStructure,,Internet PKI X.509 v3 Certificate Profile,Internet PKI X.509 v3 Certificate Profile,,
,,,cryptographicFormat,cryptographicRevocationStructure,,Internet PKI X.509 v2 CRL Profile,Internet PKI X.509 v2 CRL Profile,,
,,,communicationProtocol,networkLayerProtocol,,IPv4,Internet Protocol version 4,,
,,,communicationProtocol,networkLayerProtocol,,IPv6,Internet Protocol version 6,,
,,,communicationProtocol,transportLayerProtocol,,TCP,Transmission Control Protocol,,
,,,communicationProtocol,transportLayerProtocol,,UDP,User Datagram Protocol,,
,,,communicationProtocol,transportLayerProtocol,,QUIC,QUIC,,
,,,communicationProtocol,layeredSecurityProtocol,true,SSL,Secure Sockets Layer (legacy),,
